Abbreviations/initials found	count
EBF	42789
ECOP	17083
DGB	12695
BBO	11569
CDR	11110
CP	8052
PBL	7167
DGRW	6232
PROG	5686
FENB	4729
DCI	4299
EXPL	4273
DGMI	4025
TM	3557
ICT	3556
RWS	3434
DCO	3281
AGB	3163
DI	2611
CPNB	2468
CD	2406
WVL	2384
ANVS	2237
VTW	2151
DBO	2092
GPO	1772
RLI	1715
OPDR	1694
NLG	1647
WK	1619
DMZ	1577
DVL	1564
DKLG	1490
FMC	1475
DC	1362
DOVS	1325
HBJZ	1298
DWB	1291
DDZ	1276
WNN	1269
DVR	1185
KLE	1166
VS	1161
EPK	1087
KST	1037
CJIB	1027
NR	994
IVM	981
SPLS	936
ON	922
ZN	917
FVHH	917
POS	905
DIV	902
PP	893
BTW	876
HRM	875
WNZ	813
WLV	794
SAA	768
ZD	747
PPO	741
CW	740
ILT	734
DAWV	716
VV	715
GM	714
KIS	691
KW	668
MOBZ	667
DGP	662
EU	657
ZM	636
SSO	636
MN	612
PEB	586
MW	568
IDM	561
ART	560
INZ	550
GAK	548
DG	548
VVV	540
DECL	537
MV	527
CORR	517
NORD	515
DD	510
OLO	499
NS	483
DWV	483
SEP	481
DLV	473
OV	471
VG	470
BB	457
SZW	448
IF	446
IBZ	443
WO	433
WV	423
DKGL	421
ONTV	417
MIRT	402
DIR	402
NL	395
CRED	390
LEV	387
PDR	380
MIXX	380
SU	375
EZ	368
TBV	362
EUR	354
RO	349
OVS	348
HWBP	336
VP	335
PB	332
HGIS	325
ZW	319
SCB	319
BAG	311
BP	309
BV	307
AFR	304
NN	303
TCB	303
WS	294
ALG	293
ADR	288
SGA	276
CARD	274
DVS	273
STAS	266
RCN	265
GVKA	243
NB	241
EC	239
CIV	238
EF	234
ARZ	233
RK	229
LAVS	228
CART	225
VROM	221
KNMI	220
DNB	214
GUH	211
CEND	208
BSV	206
BSA	202
RT	202
BDU	201
VM	200
WI	199
SG	198
PL	198
FVCZ	195
CM	192
GV	191
WW	185
CB	185
GDW	181
RVO	178
DVO	178
MT	177
BBV	177
NW	175
OR	172
MZ	170
AGNL	169
BIC	161
KJ	159
MER	157
UWV	156
UITK	156
NWG	156
KIEV	154
VOV	152
WG	151
MC	149
MI	147
KPN	146
CIE	143
II	141
KD	141
PROJ	141
DTW	141
OPL	140
BW	139
PWC	138
DPC	137
ABP	137
HR	135
DEB	135
RVT	135
IT	134
BGT	134
JB	133
CS	131
OG	127
DVM	127
TR	127
MD	126
PPA	124
CKS	124
GIS	123
TRIM	122
OTO	120
LV	118
TW	117
SNS	116
VWM	116
PROV	116
DBFM	115
VERG	113
PM	112
LTSA	112
AC	111
TB	111
RIVM	110
FLO	110
ML	109
BHV	109
SE	109
HP	109
VOG	108
MVF	108
ITS	108
VT	108
VCM	105
AO	105
NOVB	104
USB	103
DB	103
ABON	103
DVA	103
ACA	102
