MINISTERIE	BOEKJAAR	NAAM LEVERANCIER	OMSCHRIJVING	BEDRAG	VALUTA	GB_DATUM	EUR_BEDRAG
A	2017	XXX	121 Bestuurlijke Boete	2017	EUR	1/1/17	2017
B	2017	YYY	Invorderingskosten	152,61	EUR	1/2/17	152,59
C	2017	ZZZ	EBF BOS restant 2012 tm 31.12.13	-1193,79	EUR	1/3/17	-1193,77
D	2017	AAA	Deskundigenkosten	2061,56	EUR	1/4/17	2061,54
A	2017	BBB	DGMi PERSONELE EXPLOITATIE DI	2017	EUR	1/5/17	2017
B	2017	CCC	2013 BDX 7889 Combiplan Nijverdal  2014	152,62	EUR	1/6/17	152,60
C	2017	DDD	Pdirekt-20140127-648-401006-95884	-1193,80	EUR	1/7/17	-1193,78
D	2017	EEE	Pdirekt-20140127-502-401007-95673	2061,57	EUR	1/8/17	2061,55
A	2017	FFF	AFREKENING PERIODE 01-03-13 T/M 31-03-13	2017	EUR	1/9/17	2017
B	2017	GGG	Factuur december 2013/januari 2014 VP WORDT AFGESLOTEN	152,63	EUR	1/10/17	152,61
C	2017	HHH	91287799 / KLAP / LINDERS / MUNTEN	-1193,81	EUR	1/11/17	-1193,79
A	2017	XXX	DGB PERSONELE EXPL OPENBAAR VERV. EN SPOOR (DOVS)	2061,58	EUR	1/12/17	2061,56
B	2017	YYY	8010031461	2017	EUR	1/13/17	2017
C	2017	ZZZ	Levering van papier in het 4e kwartaal 2013	152,64	EUR	1/14/17	152,62
D	2017	AAA	Inzet Friso Heerkens Thijssen 31.12.2014	-1193,82	EUR	1/15/17	-1193,80
A	2017	BBB	Tennet - Haalbaarheidsstudie mastaanp.	2061,59	EUR	1/16/17	2061,57
B	2017	CCC	8010031959	2017	EUR	1/17/17	2017
C	2017	DDD	EBF Cornelia Damstra 2014	152,65	EUR	1/18/17	152,63
D	2017	EEE	Pdirekt-20140226-737-419100-95901	-1193,83	EUR	1/19/17	-1193,81
A	2017	FFF	DGRW PROG GPW OPDRACHTENN	2061,60	EUR	1/20/17	2061,58
B	2017	GGG	Kleine Schaars A jan14 152 uur	2017	EUR	1/21/17	2017
C	2017	HHH	TERI travel N. Leprince tot 1-11-12	152,66	EUR	1/22/17	152,64
A	2017	XXX	Geveliso 2013 T3-3 NWG	-1193,84	EUR	1/23/17	-1193,82
B	2017	YYY	#	2061,61	EUR	1/24/17	2061,59
C	2017	ZZZ	St/Verhoeven en Vis verslag rolzittingHR	2017	EUR	1/25/17	2017
D	2017	AAA	Pdirekt-20140301-679-430176-2100	152,67	EUR	1/26/17	152,67
A	2017	BBB	Plaatsing advertorials - Media 2014	-1193,85	EUR	1/27/17	152,60
B	2017	CCC	DGB PERSONELE EXPL MARITIEME ZAKEN (DMZ)	2061,62	EUR	1/28/17	-1193,78
C	2017	DDD	2014004/0000000107/001286	2017	EUR	1/29/17	2061,55
D	2017	EEE	2014004/0000000107/000436	152,68	EUR	1/30/17	152,68
A	2017	FFF	Bedrijfsvoering - Managementonderst 11	-1193,86	EUR	1/31/17	152,61
B	2017	GGG	8010032332	2061,63	EUR	2/1/17	-1193,79
C	2017	HHH	Kast 1455 dd: 21-2-2014	2017	EUR	2/2/17	2061,56
A	2017	XXX	8010032507	152,69	EUR	2/3/17	152,69
